Date,Open,High,Low,Close,Adj Close,Volume
2023-11-01,109.19000244140625,109.19000244140625,109.19000244140625,109.19000244140625,109.19000244140625,0
2023-11-02,110.5999984741211,110.5999984741211,110.5999984741211,110.5999984741211,110.5999984741211,0
2023-11-03,111.45999908447266,111.45999908447266,111.45999908447266,111.45999908447266,111.45999908447266,0
2023-11-06,111.02999877929688,111.02999877929688,111.02999877929688,111.02999877929688,111.02999877929688,0
2023-11-07,110.80000305175781,110.80000305175781,110.80000305175781,110.80000305175781,110.80000305175781,0
2023-11-08,110.23999786376953,110.23999786376953,110.23999786376953,110.23999786376953,110.23999786376953,0
2023-11-09,110.55999755859375,110.55999755859375,110.55999755859375,110.55999755859375,110.55999755859375,0
2023-11-10,111.33999633789062,111.33999633789062,111.33999633789062,111.33999633789062,111.33999633789062,0
2023-11-13,111.87999725341797,111.87999725341797,111.87999725341797,111.87999725341797,111.87999725341797,0
2023-11-14,112.41999816894531,112.41999816894531,112.41999816894531,112.41999816894531,112.41999816894531,0
2023-11-15,112.52999877929688,112.52999877929688,112.52999877929688,112.52999877929688,112.52999877929688,0
2023-11-16,112.69000244140625,112.69000244140625,112.69000244140625,112.69000244140625,112.69000244140625,0
2023-11-17,112.45999908447266,112.45999908447266,112.45999908447266,112.45999908447266,112.45999908447266,0
2023-11-20,113.05999755859375,113.05999755859375,113.05999755859375,113.05999755859375,113.05999755859375,0
2023-11-21,112.51000213623047,112.51000213623047,112.51000213623047,112.51000213623047,112.51000213623047,0
2023-11-22,112.5999984741211,112.5999984741211,112.5999984741211,112.5999984741211,112.5999984741211,0
2023-11-24,112.7300033569336,112.7300033569336,112.7300033569336,112.7300033569336,112.7300033569336,0
2023-11-27,111.9000015258789,111.9000015258789,111.9000015258789,111.9000015258789,111.9000015258789,0
2023-11-28,111.87000274658203,111.87000274658203,111.87000274658203,111.87000274658203,111.87000274658203,0
2023-11-29,111.66999816894531,111.66999816894531,111.66999816894531,111.66999816894531,111.66999816894531,0
2023-11-30,112.19000244140625,112.19000244140625,112.19000244140625,112.19000244140625,112.19000244140625,0
